filename,group,phone,case,freq_hz,freq_location,incl_degree,incl_location,incl_detectable,damping_present,damping_location,rail2_speed,rail3_speed,freq_defect,speed_defect
G3_P3_case34.xls,3,3,4,0,0,0,0,0,0,0,60,30,0,1
G3_P4_case34.xls,3,4,4,0,0,0,0,0,0,0,60,30,0,1
G3_P5_case34.xls,3,5,4,0,0,0,0,0,0,0,60,30,0,1
G3_P1_case35.xls,3,1,5,40,6,4,4,1,0,0,70,100,1,0
G3_P2_case35.xls,3,2,5,40,6,4,4,1,0,0,70,100,1,0
G3_P3_case35.xls,3,3,5,40,6,4,4,1,0,0,70,100,1,0
G3_P4_case35.xls,3,4,5,40,6,4,4,1,0,0,70,100,1,0
G3_P5_case35.xls,3,5,5,40,6,4,4,1,0,0,70,100,1,0
G3_P1_case36.xls,3,1,6,40,6,0,0,0,1,4,70,100,1,0
G3_P2_case36.xls,3,2,6,40,6,0,0,0,1,4,70,100,1,0
G3_P3_case36.xls,3,3,6,40,6,0,0,0,1,4,70,100,1,0
G3_P4_case36.xls,3,4,6,40,6,0,0,0,1,4,70,100,1,0
G3_P5_case36.xls,3,5,6,40,6,0,0,0,1,4,70,100,1,0
G4_P1_case41.xls,4,1,1,50,3,0,0,0,0,0,70,100,1,0
G4_P2_case41.xls,4,2,1,50,3,0,0,0,0,0,70,100,1,0
G4_P3_case41.xls,4,3,1,50,3,0,0,0,0,0,70,100,1,0
G4_P4_case41.xls,4,4,1,50,3,0,0,0,0,0,70,100,1,0
G4_P5_case41.xls,4,5,1,50,3,0,0,0,0,0,70,100,1,0
G4_P1_case42.xls,4,1,2,0,0,0,5,0,0,0,70,100,0,0
G4_P2_case42.xls,4,2,2,0,0,0,5,0,0,0,70,100,0,0
G4_P3_case42.xls,4,3,2,0,0,0,5,0,0,0,70,100,0,0
G4_P4_case42.xls,4,4,2,0,0,0,5,0,0,0,70,100,0,0
G4_P5_case42.xls,4,5,2,0,0,0,5,0,0,0,70,100,0,0
G4_P1_case43.xls,4,1,3,0,0,0,0,0,1,4,70,100,0,0
G4_P2_case43.xls,4,2,3,0,0,0,0,0,1,4,70,100,0,0
G4_P3_case43.xls,4,3,3,0,0,0,0,0,1,4,70,100,0,0
G4_P4_case43.xls,4,4,3,0,0,0,0,0,1,4,70,100,0,0
G4_P5_case43.xls,4,5,3,0,0,0,0,0,1,4,70,100,0,0
G4_P1_case44.xls,4,1,4,0,0,0,0,0,0,0,40,50,0,1
G4_P2_case44.xls,4,2,4,0,0,0,0,0,0,0,40,50,0,1
G4_P3_case44.xls,4,3,4,0,0,0,0,0,0,0,40,50,0,1
G4_P4_case44.xls,4,4,4,0,0,0,0,0,0,0,40,50,0,1
G4_P5_case44.xls,4,5,4,0,0,0,0,0,0,0,40,50,0,1
G4_P1_case45.xls,4,1,5,45,6,0,5,0,0,0,70,100,1,0
G4_P2_case45.xls,4,2,5,45,6,0,5,0,0,0,70,100,1,0
G4_P3_case45.xls,4,3,5,45,6,0,5,0,0,0,70,100,1,0
G4_P4_case45.xls,4,4,5,45,6,0,5,0,0,0,70,100,1,0
G4_P5_case45.xls,4,5,5,45,6,0,5,0,0,0,70,100,1,0
G4_P1_case46.xls,4,1,6,45,6,0,0,0,1,5,70,100,1,0
G4_P2_case46.xls,4,2,6,45,6,0,0,0,1,5,70,100,1,0
G4_P3_case46.xls,4,3,6,45,6,0,0,0,1,5,70,100,1,0
G4_P4_case46.xls,4,4,6,45,6,0,0,0,1,5,70,100,1,0
G4_P5_case46.xls,4,5,6,45,6,0,0,0,1,5,70,100,1,0
G5_P1_case51.xls,5,1,1,35,5,0,0,0,0,0,70,100,1,0
G5_P2_case51.xls,5,2,1,35,5,0,0,0,0,0,70,100,1,0
G5_P3_case51.xls,5,3,1,35,5,0,0,0,0,0,70,100,1,0
G5_P4_case51.xls,5,4,1,35,5,0,0,0,0,0,70,100,1,0
G5_P5_case51.xls,5,5,1,35,5,0,0,0,0,0,70,100,1,0
G5_P1_case52.xls,5,1,2,0,0,5,4,1,0,0,70,100,0,0
G5_P2_case52.xls,5,2,2,0,0,5,4,1,0,0,70,100,0,0
G5_P3_case52.xls,5,3,2,0,0,5,4,1,0,0,70,100,0,0
G5_P4_case52.xls,5,4,2,0,0,5,4,1,0,0,70,100,0,0
G5_P5_case52.xls,5,5,2,0,0,5,4,1,0,0,70,100,0,0
G5_P1_case53.xls,5,1,3,0,0,0,0,0,1,5,70,100,0,0
G5_P2_case53.xls,5,2,3,0,0,0,0,0,1,5,70,100,0,0
G5_P3_case53.xls,5,3,3,0,0,0,0,0,1,5,70,100,0,0
G5_P4_case53.xls,5,4,3,0,0,0,0,0,1,5,70,100,0,0
G5_P5_case53.xls,5,5,3,0,0,0,0,0,1,5,70,100,0,0
G5_P1_case54.xls,5,1,4,0,0,0,0,0,0,0,100,70,0,1
G5_P2_case54.xls,5,2,4,0,0,0,0,0,0,0,100,70,0,1
G5_P3_case54.xls,5,3,4,0,0,0,0,0,0,0,100,70,0,1
G5_P4_case54.xls,5,4,4,0,0,0,0,0,0,0,100,70,0,1
G5_P5_case54.xls,5,5,4,0,0,0,0,0,0,0,100,70,0,1
G5_P1_case55.xls,5,1,5,50,6,4,4,1,0,0,70,100,1,0
G5_P2_case55.xls,5,2,5,50,6,4,4,1,0,0,70,100,1,0
G5_P3_case55.xls,5,3,5,50,6,4,4,1,0,0,70,100,1,0
G5_P4_case55.xls,5,4,5,50,6,4,4,1,0,0,70,100,1,0
G5_P5_case55.xls,5,5,5,50,6,4,4,1,0,0,70,100,1,0
G5_P1_case56.xls,5,1,6,50,6,0,0,0,1,4,70,100,1,0
G5_P2_case56.xls,5,2,6,50,6,0,0,0,1,4,70,100,1,0
G5_P3_case56.xls,5,3,6,50,6,0,0,0,1,4,70,100,1,0
G5_P4_case56.xls,5,4,6,50,6,0,0,0,1,4,70,100,1,0
G5_P5_case56.xls,5,5,6,50,6,0,0,0,1,4,70,100,1,0
G6_P1_case61.xls,6,1,1,40,2,0,0,0,0,0,70,100,1,0
G6_P2_case61.xls,6,2,1,40,2,0,0,0,0,0,70,100,1,0
G6_P3_case61.xls,6,3,1,40,2,0,0,0,0,0,70,100,1,0
G6_P4_case61.xls,6,4,1,40,2,0,0,0,0,0,70,100,1,0
G6_P5_case61.xls,6,5,1,40,2,0,0,0,0,0,70,100,1,0
G6_P1_case62.xls,6,1,2,0,0,0,5,0,0,0,70,100,0,0
G6_P2_case62.xls,6,2,2,0,0,0,5,0,0,0,70,100,0,0
G6_P3_case62.xls,6,3,2,0,0,0,5,0,0,0,70,100,0,0
G6_P4_case62.xls,6,4,2,0,0,0,5,0,0,0,70,100,0,0
G6_P5_case62.xls,6,5,2,0,0,0,5,0,0,0,70,100,0,0
G6_P1_case63.xls,6,1,3,0,0,0,0,0,1,6,70,100,0,0
G6_P2_case63.xls,6,2,3,0,0,0,0,0,1,6,70,100,0,0
G6_P3_case63.xls,6,3,3,0,0,0,0,0,1,6,70,100,0,0
G6_P4_case63.xls,6,4,3,0,0,0,0,0,1,6,70,100,0,0
G6_P5_case63.xls,6,5,3,0,0,0,0,0,1,6,70,100,0,0
G6_P1_case64.xls,6,1,4,0,0,0,0,0,0,0,30,60,0,1
G6_P2_case64.xls,6,2,4,0,0,0,0,0,0,0,30,60,0,1
G6_P3_case64.xls,6,3,4,0,0,0,0,0,0,0,30,60,0,1
G6_P4_case64.xls,6,4,4,0,0,0,0,0,0,0,30,60,0,1
G6_P5_case64.xls,6,5,4,0,0,0,0,0,0,0,30,60,0,1
G6_P1_case65.xls,6,1,5,30,6,0,5,0,0,0,70,100,1,0
G6_P2_case65.xls,6,2,5,30,6,0,5,0,0,0,70,100,1,0
G6_P3_case65.xls,6,3,5,30,6,0,5,0,0,0,70,100,1,0
G6_P4_case65.xls,6,4,5,30,6,0,5,0,0,0,70,100,1,0
G6_P5_case65.xls,6,5,5,30,6,0,5,0,0,0,70,100,1,0
G6_P1_case66.xls,6,1,6,30,6,0,0,0,1,5,70,100,1,0
G6_P2_case66.xls,6,2,6,30,6,0,0,0,1,5,70,100,1,0
G6_P3_case66.xls,6,3,6,30,6,0,0,0,1,5,70,100,1,0
G6_P4_case66.xls,6,4,6,30,6,0,0,0,1,5,70,100,1,0
G6_P5_case66.xls,6,5,6,30,6,0,0,0,1,5,70,100,1,0
G7_P1_case71.xls,7,1,1,45,3,0,0,0,0,0,70,100,1,0
G7_P2_case71.xls,7,2,1,45,3,0,0,0,0,0,70,100,1,0
G7_P3_case71.xls,7,3,1,45,3,0,0,0,0,0,70,100,1,0
G7_P4_case71.xls,7,4,1,45,3,0,0,0,0,0,70,100,1,0
G7_P5_case71.xls,7,5,1,45,3,0,0,0,0,0,70,100,1,0
G7_P1_case72.xls,7,1,2,0,0,4,4,1,0,0,70,100,0,0
G7_P2_case72.xls,7,2,2,0,0,4,4,1,0,0,70,100,0,0
G7_P3_case72.xls,7,3,2,0,0,4,4,1,0,0,70,100,0,0
G7_P4_case72.xls,7,4,2,0,0,4,4,1,0,0,70,100,0,0
G7_P5_case72.xls,7,5,2,0,0,4,4,1,0,0,70,100,0,0
G7_P1_case73.xls,7,1,3,0,0,0,0,0,1,4,70,100,0,0
G7_P2_case73.xls,7,2,3,0,0,0,0,0,1,4,70,100,0,0
G7_P3_case73.xls,7,3,3,0,0,0,0,0,1,4,70,100,0,0
G7_P4_case73.xls,7,4,3,0,0,0,0,0,1,4,70,100,0,0
G7_P5_case73.xls,7,5,3,0,0,0,0,0,1,4,70,100,0,0
G7_P1_case74.xls,7,1,4,0,0,0,0,0,0,0,30,30,0,1
G7_P2_case74.xls,7,2,4,0,0,0,0,0,0,0,30,30,0,1
G7_P3_case74.xls,7,3,4,0,0,0,0,0,0,0,30,30,0,1
G7_P4_case74.xls,7,4,4,0,0,0,0,0,0,0,30,30,0,1
G7_P5_case74.xls,7,5,4,0,0,0,0,0,0,0,30,30,0,1
G7_P1_case75.xls,7,1,5,35,6,4,4,1,0,0,70,100,1,0
G7_P2_case75.xls,7,2,5,35,6,4,4,1,0,0,70,100,1,0
G7_P3_case75.xls,7,3,5,35,6,4,4,1,0,0,70,100,1,0
G7_P4_case75.xls,7,4,5,35,6,4,4,1,0,0,70,100,1,0
G7_P5_case75.xls,7,5,5,35,6,4,4,1,0,0,70,100,1,0
G7_P1_case76.xls,7,1,6,35,6,0,0,0,1,4,70,100,1,0
G7_P2_case76.xls,7,2,6,35,6,0,0,0,1,4,70,100,1,0
G7_P3_case76.xls,7,3,6,35,6,0,0,0,1,4,70,100,1,0
G7_P4_case76.xls,7,4,6,35,6,0,0,0,1,4,70,100,1,0
G7_P5_case76.xls,7,5,6,35,6,0,0,0,1,4,70,100,1,0
G8_P1_case81.xls,8,1,1,50,5,0,0,0,0,0,70,100,1,0
G8_P2_case81.xls,8,2,1,50,5,0,0,0,0,0,70,100,1,0
G8_P3_case81.xls,8,3,1,50,5,0,0,0,0,0,70,100,1,0
G8_P4_case81.xls,8,4,1,50,5,0,0,0,0,0,70,100,1,0
G8_P5_case81.xls,8,5,1,50,5,0,0,0,0,0,70,100,1,0
G8_P1_case82.xls,8,1,2,0,0,0,5,0,0,0,70,100,0,0
G8_P2_case82.xls,8,2,2,0,0,0,5,0,0,0,70,100,0,0
G8_P3_case82.xls,8,3,2,0,0,0,5,0,0,0,70,100,0,0
G8_P4_case82.xls,8,4,2,0,0,0,5,0,0,0,70,100,0,0
G8_P5_case82.xls,8,5,2,0,0,0,5,0,0,0,70,100,0,0
G8_P1_case83.xls,8,1,3,0,0,0,0,0,1,5,70,100,0,0
G8_P2_case83.xls,8,2,3,0,0,0,0,0,1,5,70,100,0,0
G8_P3_case83.xls,8,3,3,0,0,0,0,0,1,5,70,100,0,0
G8_P4_case83.xls,8,4,3,0,0,0,0,0,1,5,70,100,0,0
G8_P5_case83.xls,8,5,3,0,0,0,0,0,1,5,70,100,0,0
G8_P1_case84.xls,8,1,4,0,0,0,0,0,0,0,100,60,0,1
G8_P2_case84.xls,8,2,4,0,0,0,0,0,0,0,100,60,0,1
G8_P3_case84.xls,8,3,4,0,0,0,0,0,0,0,100,60,0,1
G8_P4_case84.xls,8,4,4,0,0,0,0,0,0,0,100,60,0,1
G8_P5_case84.xls,8,5,4,0,0,0,0,0,0,0,100,60,0,1
G8_P1_case85.xls,8,1,5,40,6,0,5,0,0,0,70,100,1,0
G8_P2_case85.xls,8,2,5,40,6,0,5,0,0,0,70,100,1,0
G8_P3_case85.xls,8,3,5,40,6,0,5,0,0,0,70,100,1,0
G8_P4_case85.xls,8,4,5,40,6,0,5,0,0,0,70,100,1,0
G8_P5_case85.xls,8,5,5,40,6,0,5,0,0,0,70,100,1,0
G8_P1_case86.xls,8,1,6,40,6,0,0,0,1,5,70,100,1,0
G8_P2_case86.xls,8,2,6,40,6,0,0,0,1,5,70,100,1,0
G8_P3_case86.xls,8,3,6,40,6,0,0,0,1,5,70,100,1,0
G8_P4_case86.xls,8,4,6,40,6,0,0,0,1,5,70,100,1,0
G8_P5_case86.xls,8,5,6,40,6,0,0,0,1,5,70,100,1,0
G9_P1_case91.xls,9,1,1,45,2,0,0,0,0,0,70,100,1,0
G9_P2_case91.xls,9,2,1,45,2,0,0,0,0,0,70,100,1,0
G9_P3_case91.xls,9,3,1,45,2,0,0,0,0,0,70,100,1,0
G9_P4_case91.xls,9,4,1,45,2,0,0,0,0,0,70,100,1,0
G9_P5_case91.xls,9,5,1,45,2,0,0,0,0,0,70,100,1,0
G9_P1_case92.xls,9,1,2,0,0,2,4,1,0,0,70,100,0,0
G9_P2_case92.xls,9,2,2,0,0,2,4,1,0,0,70,100,0,0
G9_P3_case92.xls,9,3,2,0,0,2,4,1,0,0,70,100,0,0
G9_P4_case92.xls,9,4,2,0,0,2,4,1,0,0,70,100,0,0
G9_P5_case92.xls,9,5,2,0,0,2,4,1,0,0,70,100,0,0
G9_P1_case93.xls,9,1,3,0,0,0,0,0,1,6,70,100,0,0
G9_P2_case93.xls,9,2,3,0,0,0,0,0,1,6,70,100,0,0
G9_P3_case93.xls,9,3,3,0,0,0,0,0,1,6,70,100,0,0
G9_P4_case93.xls,9,4,3,0,0,0,0,0,1,6,70,100,0,0
G9_P5_case93.xls,9,5,3,0,0,0,0,0,1,6,70,100,0,0
G9_P1_case94.xls,9,1,4,0,0,0,0,0,0,0,40,70,0,1
G9_P2_case94.xls,9,2,4,0,0,0,0,0,0,0,40,70,0,1
G9_P3_case94.xls,9,3,4,0,0,0,0,0,0,0,40,70,0,1
G9_P4_case94.xls,9,4,4,0,0,0,0,0,0,0,40,70,0,1
G9_P5_case94.xls,9,5,4,0,0,0,0,0,0,0,40,70,0,1
G9_P1_case95.xls,9,1,5,45,6,4,4,1,0,0,70,100,1,0
G9_P2_case95.xls,9,2,5,45,6,4,4,1,0,0,70,100,1,0
G9_P3_case95.xls,9,3,5,45,6,4,4,1,0,0,70,100,1,0
G9_P4_case95.xls,9,4,5,45,6,4,4,1,0,0,70,100,1,0
G9_P5_case95.xls,9,5,5,45,6,4,4,1,0,0,70,100,1,0
G9_P1_case96.xls,9,1,6,45,6,0,0,0,1,4,70,100,1,0
G9_P2_case96.xls,9,2,6,45,6,0,0,0,1,4,70,100,1,0
G9_P3_case96.xls,9,3,6,45,6,0,0,0,1,4,70,100,1,0
G9_P4_case96.xls,9,4,6,45,6,0,0,0,1,4,70,100,1,0
G9_P5_case96.xls,9,5,6,45,6,0,0,0,1,4,70,100,1,0
